====================
     09-04-2026     
====================
NOTES:
- [✅] BARANG BISA DIRETUR
- [❌] BARANG TIDAK BISA DIRETUR
- [➖] DATA/SYARAT RETUR BARANG BELUM DIPERBARUI

                     <!-- FROZEN -->                    
DILAMO BAKSO SAPI REGULAR-M ISI 50                           |  1 PCS | 31-07-2026 | SALAH LABEL | [✅]
ROSE BRAND TEPUNG BERAS PUTIH 500GR [B]                      |  1 PCS | dd-mm-yyyy | RUSAK FISIK | [✅]
ROSE BRAND TEPUNG KETAN PUTIH 500GR [B]                      |  1 PCS | 26-01-2028 | RUSAK FISIK | [✅]
ROSE BRAND TEPUNG TAPIOKA 500GR [B]                          |  8 PCS | dd-mm-yyyy | RUSAK FISIK | [✅]
BOLA DELI TEPUNG BERAS 500GR [B]                             |  1 PCS | 02-04-2028 | RUSAK FISIK | [✅]
CAP TANAM JAGUNG BIHUN JAGUNG 320GR [B]                      |  2 PCS | 23-02-2028 | RUSAK FISIK | [✅]
MAMAYO MAYONAIS ORIGINAL 200GR                               |  1 PCS | 01-12-2026 | RUSAK FISIK | [✅]
MC LEWIS SPAGHETTI SAUCE 1KG                                 |  5 PCS | 07-07-2027 | RUSAK FISIK | [✅]
MC LEWIS SPAGHETTI SAUCE 310GR                               |  2 PCS | 27-06-2027 | RUSAK FISIK | [✅]
DELMONTE EXTRA HOT 24SACHET x 8GR                            |  1 PCS | 11-11-2026 | RUSAK FISIK | [✅]
MAESTRO SAUS MAYO PREMIUM 1KG                                |  1 PCS | 11-08-2027 | RUSAK FISIK | [✅]
ROYCO BUMBU KALDU RASA SAPI 94GR                             |  3 PCS | 25-01-2027 | RUSAK FISIK | [✅]
BOGASARI TEPUNG TERIGU LENCANA MERAH 1KG                     |  1 PCS | 23-02-2027 | RUSAK FISIK | [✅]
KOKI JEMPOL BUMBU STEAMBOAT 60GR                             |  7 PCS | 21-02-2027 | RUSAK FISIK | [✅]
GAGA BAKMI - MI KERING GANDUM 200G                           |  1 PCS | 20-11-2026 | RUSAK FISIK | [✅]
KIKKOMAN BLACKPEPPER TERIYAKI SAUCE 300GR                    |  1 PCS | 30-12-2027 | RUSAK FISIK | [❌]
SUNBAY SOYA BEAN DRINK 320ML [B]                             |  1 PCS | dd-mm-yyyy | RUSAK FISIK | [❌]
BAWANG GORENG BINTANG 100GR [O0]                             |  1 PCS | dd-mm-yyyy | RUSAK FISIK | [✅]
KHR BREADCRUMBS TEPUNG ROTI MIX 1 KG                         |  1 PCS | 06-02-2027 | RUSAK FISIK | [✅]
HOME VERMICELLI SOUN LONGKOU 250GR                           |  3 PCS | 06-02-2027 | RUSAK FISIK | [✅]
INDOFOOD TABURI BUMBU TABUR SERBAGUNA RASA BARBEKIU 25GR     |  1 PCS | 06-02-2027 | RUSAK FISIK | [✅]
INDOFOOD TABURI BUMBU TABUR SERBAGUNA RASA GAS PEDAS 25GR    |  8 PCS | 06-02-2027 | RUSAK FISIK | [✅]
KOBE BREADCRUMBS 200GR                                       | 11 PCS | 06-02-2027 | RUSAK FISIK | [✅]
CHITATO LITE RASA RUMPUT LAUT 68GR [B]                       |  1 PCS | 13-01-2026 | RUSAK FISIK | [✅]
CHITATO RASA SAPI PANGGANG 68GR [B]                          |  1 PCS | 13-01-2026 | RUSAK FISIK | [✅]
MAMASUKA TEPUNG BUMBU KRISPI ALA RESTO 900GR                 |  1 PCS | 03-11-2026 | RUSAK FISIK | [✅]
JAYS PARSLEY FLAKES 20G                                      |  1 PCS | 26-03-2027 | RUSAK FISIK | [✅]
BAMBOE BUMBU INSTAN GULE 35GR                                |  1 PCS | 27-09-2027 | RUSAK FISIK | [✅]
MAMASUKA MIE HOT LAVA RASA AYAM PEDAS 89GR                   | 11 PCS | 15-01-2025 |   EXPIRED   | [✅]
MAMASUKA TEPUNG BAKWAN KRISPI UDANG 170GR                    |  5 PCS | 02-02-2026 |   EXPIRED   | [✅]
JAYS CHILI POWDER 65G                                        |  1 PCS | 06-02-2027 |   EXPIRED   | [✅]

   file: retur.txt
  sha-1: 27dc5d69948abd5348dfd5f2ddfc4c5e255d0547
sha-256: aab13717c897a555cdcc90b85ed278a7823d2bec296f83e3f9ffd671b9a0174b
